agent,timestep,location,x,y,orientation
2,63,595,25,19,-1
2,64,565,25,18,-1
3,60,495,15,16,-1
3,61,496,16,16,-1
3,62,526,16,17,-1
3,63,556,16,18,-1
3,64,586,16,19,-1
4,60,616,16,20,-1
4,61,617,17,20,-1
4,62,587,17,19,-1
4,63,557,17,18,-1
4,64,527,17,17,-1
0,65,490,10,16,-1
0,66,491,11,16,-1
0,67,492,12,16,-1
0,68,493,13,16,-1
0,69,494,14,16,-1
1,65,315,15,10,-1
1,66,285,15,9,-1
1,67,255,15,8,-1
1,68,225,15,7,-1
1,69,195,15,6,-1
2,65,535,25,17,-1
2,66,505,25,16,-1
2,67,475,25,15,-1
2,68,445,25,14,-1
2,69,415,25,13,-1
3,65,616,16,20,-1
3,66,646,16,21,-1
3,67,676,16,22,-1
3,68,706,16,23,-1
3,69,736,16,24,-1
4,65,497,17,16,-1
4,66,498,18,16,-1
4,67,499,19,16,-1
4,68,500,20,16,-1
4,69,501,21,16,-1
0,70,495,15,16,-1
0,71,496,16,16,-1
0,72,497,17,16,-1
0,73,498,18,16,-1
0,74,499,19,16,-1
1,70,165,15,5,-1
1,71,135,15,4,-1
1,72,134,14,4,-1
1,73,133,13,4,-1
1,74,132,12,4,-1
2,70,385,25,12,-1
2,71,355,25,11,-1
2,72,325,25,10,-1
2,73,295,25,9,-1
2,74,265,25,8,-1
3,70,766,16,25,-1
3,71,767,17,25,-1
3,72,768,18,25,-1
3,73,769,19,25,-1
3,74,770,20,25,-1
4,70,471,21,15,-1
4,71,472,22,15,-1
4,72,473,23,15,-1
4,73,474,24,15,-1
4,74,475,25,15,-1
0,75,500,20,16,-1
0,76,501,21,16,-1
0,77,471,21,15,-1
0,78,472,22,15,-1
0,79,473,23,15,-1
1,75,131,11,4,-1
1,76,130,10,4,-1
1,77,129,9,4,-1
1,78,128,8,4,-1
1,79,127,7,4,-1
2,75,235,25,7,-1
2,76,205,25,6,-1
2,77,175,25,5,-1
2,78,145,25,4,-1
2,79,144,24,4,-1
3,75,771,21,25,-1
3,76,772,22,25,-1
3,77,773,23,25,-1
3,78,774,24,25,-1
3,79,775,25,25,-1
4,75,505,25,16,-1
4,76,535,25,17,-1
4,77,565,25,18,-1
4,78,595,25,19,-1
4,79,594,24,19,-1
0,80,474,24,15,-1
0,81,475,25,15,-1
0,82,445,25,14,-1
0,83,415,25,13,-1
0,84,385,25,12,-1
1,80,126,6,4,-1
1,81,125,5,4,-1
1,82,124,4,4,-1
1,83,154,4,5,-1
1,84,184,4,6,-1
2,80,143,23,4,-1
2,81,142,22,4,-1
2,82,141,21,4,-1
2,83,140,20,4,-1
2,84,139,19,4,-1
3,80,805,25,26,-1
3,81,804,24,26,-1
3,82,803,23,26,-1
3,83,802,22,26,-1
3,84,801,21,26,-1
4,80,593,23,19,-1
4,81,592,22,19,-1
4,82,591,21,19,-1
4,83,590,20,19,-1
4,84,589,19,19,-1
0,85,355,25,11,-1
0,86,325,25,10,-1
0,87,295,25,9,-1
